trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1313,False,"{'a': 0.002, 'e': 0.0013927781290614418}",20,10,21.719124471436118,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1314,False,"{'a': 0.002, 'e': 0.0013858142384161347}",20,13,14.240809184987455,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1315,False,"{'a': 0.002, 'e': 0.0013788851672240539}",20,9,21.11645579585769,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1316,False,"{'a': 0.002, 'e': 0.0013719907413879337}",35,15,38.14294066636823,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1317,False,"{'a': 0.002, 'e': 0.001365130787680994}",20,6,23.654668391195496,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1318,False,"{'a': 0.002, 'e': 0.001358305133742589}",20,14,11.703480524833559,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1319,False,"{'a': 0.002, 'e': 0.0013515136080738761}",25,13,25.348105106367456,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1320,False,"{'a': 0.002, 'e': 0.0013447560400335066}",30,20,21.177945919383976,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1321,False,"{'a': 0.002, 'e': 0.0013380322598333392}",20,8,24.653722590413306,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1322,False,"{'a': 0.002, 'e': 0.0013313420985341725}",20,12,14.500435492592693,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1323,False,"{'a': 0.002, 'e': 0.0013246853880415016}",20,13,14.474172738707935,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1324,False,"{'a': 0.002, 'e': 0.001318061961101294}",25,10,26.714624342818883,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1325,False,"{'a': 0.002, 'e': 0.0013114716512957875}",35,23,22.113773229152393,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1326,False,"{'a': 0.002, 'e': 0.0013049142930393086}",20,10,19.336485853897727,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1327,False,"{'a': 0.002, 'e': 0.0012983897215741121}",35,21,25.884203691334537,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1328,False,"{'a': 0.002, 'e': 0.0012918977729662415}",25,15,17.64285583201091,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1329,False,"{'a': 0.002, 'e': 0.0012854382841014102}",20,12,14.628124586807537,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1330,False,"{'a': 0.002, 'e': 0.0012790110926809031}",25,14,21.468790478854515,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1331,False,"{'a': 0.002, 'e': 0.0012726160372174987}",20,12,16.124116908759817,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1332,False,"{'a': 0.002, 'e': 0.0012662529570314112}",25,13,24.646728274558047,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1333,False,"{'a': 0.002, 'e': 0.0012599216922462542}",25,11,27.388953231280105,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1334,False,"{'a': 0.002, 'e': 0.0012536220837850228}",20,6,25.408644602244028,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1335,False,"{'a': 0.002, 'e': 0.0012473539733660977}",20,0,32.103962764820594,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1336,False,"{'a': 0.002, 'e': 0.0012411172034992673}",25,10,17.697078928765933,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1337,False,"{'a': 0.002, 'e': 0.0012349116174817708}",25,4,36.52901407020654,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1338,False,"{'a': 0.002, 'e': 0.001228737059394362}",30,19,23.501242126109222,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1339,False,"{'a': 0.002, 'e': 0.0012225933740973903}",25,6,31.05707343557275,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1340,False,"{'a': 0.002, 'e': 0.0012164804072269033}",25,5,33.12470405307255,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1341,False,"{'a': 0.002, 'e': 0.0012103980051907687}",25,11,28.36687342376087,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1342,False,"{'a': 0.002, 'e': 0.001204346015164815}",20,12,14.846474998839362,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1343,False,"{'a': 0.002, 'e': 0.0011983242850889908}",20,14,12.702408400901486,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1344,False,"{'a': 0.002, 'e': 0.001192332663663546}",20,0,25.399770107945443,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1345,False,"{'a': 0.002, 'e': 0.001186371000345228}",25,8,29.568330193496685,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1346,False,"{'a': 0.002, 'e': 0.001180439145343502}",20,12,15.561034231132698,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1347,False,"{'a': 0.002, 'e': 0.0011745369496167844}",25,10,18.8539187308446,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1348,False,"{'a': 0.002, 'e': 0.0011686642648687006}",20,0,30.372423187480663,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1349,False,"{'a': 0.002, 'e': 0.001162820943544357}",25,16,14.185029386619199,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1350,False,"{'a': 0.002, 'e': 0.0011570068388266352}",30,19,21.291696802625008,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1351,False,"{'a': 0.002, 'e': 0.0011512218046325021}",25,2,35.09120200574278,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1352,False,"{'a': 0.002, 'e': 0.0011454656956093395}",25,17,17.28887543118236,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1353,False,"{'a': 0.002, 'e': 0.0011397383671312928}",20,0,31.729527397813033,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1354,False,"{'a': 0.002, 'e': 0.0011340396752956363}",25,3,33.50675243880487,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1355,False,"{'a': 0.002, 'e': 0.0011283694769191582}",20,11,17.185892720022604,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1356,False,"{'a': 0.002, 'e': 0.0011227276295345623}",20,16,9.009678456425492,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1357,False,"{'a': 0.002, 'e': 0.0011171139913868896}",30,20,22.033997745617018,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1358,False,"{'a': 0.002, 'e': 0.001111528421429955}",20,16,7.181929917137078,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1359,False,"{'a': 0.002, 'e': 0.0011059707793228052}",20,14,12.364346894726475,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1360,False,"{'a': 0.002, 'e': 0.0011004409254261912}",20,0,33.00554700579927,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1361,False,"{'a': 0.002, 'e': 0.0010949387207990604}",20,14,11.317560607700353,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1362,False,"{'a': 0.002, 'e': 0.001089464027195065}",20,11,16.52405921128536,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1363,False,"{'a': 0.002, 'e': 0.0010840167070590898}",20,14,9.342082512187673,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1364,False,"{'a': 0.002, 'e': 0.0010785966235237943}",25,8,35.01642186973946,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1365,False,"{'a': 0.002, 'e': 0.0010732036404061754}",25,13,23.954582396341817,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1366,False,"{'a': 0.002, 'e': 0.0010678376222041444}",30,16,25.848223308088315,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1367,False,"{'a': 0.002, 'e': 0.0010624984340931237}",20,15,9.709337335746635,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1368,False,"{'a': 0.002, 'e': 0.0010571859419226581}",25,17,13.111336348012712,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1369,False,"{'a': 0.002, 'e': 0.0010519000122130447}",20,12,15.959569964090603,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1370,False,"{'a': 0.002, 'e': 0.0010466405121519796}",30,7,42.26697589348588,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1371,False,"{'a': 0.002, 'e': 0.0010414073095912197}",20,15,8.470116856383589,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1372,False,"{'a': 0.002, 'e': 0.0010362002730432635}",25,14,19.642723067201338,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1373,False,"{'a': 0.002, 'e': 0.0010310192716780472}",20,15,8.155270448612443,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1374,False,"{'a': 0.002, 'e': 0.001025864175319657}",20,13,12.490930736286469,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1375,False,"{'a': 0.002, 'e': 0.0010207348544430588}",30,22,13.689360846462169,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1376,False,"{'a': 0.002, 'e': 0.0010156311801708434}",20,0,30.662845631267942,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1377,False,"{'a': 0.002, 'e': 0.0010105530242699892}",25,17,13.235199090549653,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1378,False,"{'a': 0.002, 'e': 0.0010055002591486393}",35,19,31.270609397593063,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1379,False,"{'a': 0.002, 'e': 0.001000472757852896}",20,14,11.109052030746266,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1380,False,"{'a': 0.002, 'e': 0.0009954703940636316}",30,18,18.467049790161642,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,17,18.020353203770497,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,21,24.285146957605757,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,13,19.572979305455448,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,11,16.0115908023294,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,18,13.191995053162152,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,16,8.672041765292885,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,8,37.39275137676726,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,18,29.38445475723607,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,7,22.872961389632398,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,27.79676744572129,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
