trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.002, 'e': 0.810157377815473}",30,20,-3.0122011261146944,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.002, 'e': 0.8061065909263957}",25,0,-48.29097299554712,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.002, 'e': 0.8020760579717637}",25,3,-73.09423906065815,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 1}",1
46,False,"{'a': 0.002, 'e': 0.7980656776819048}",20,0,3.4200888900765145,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.002, 'e': 0.7940753492934953}",20,0,-97.49674560391048,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.002, 'e': 0.7901049725470278}",20,6,-46.45636788865692,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.002, 'e': 0.7861544476842928}",20,0,-42.36806733470878,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
50,False,"{'a': 0.002, 'e': 0.7822236754458712}",30,0,-113.1271481937854,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
51,False,"{'a': 0.002, 'e': 0.7783125570686419}",20,0,-61.678827055284046,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
52,False,"{'a': 0.002, 'e': 0.7744209942832987}",20,0,-55.29980971493163,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
53,False,"{'a': 0.002, 'e': 0.7705488893118821}",20,0,-62.9289135549355,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.002, 'e': 0.7666961448653228}",30,4,-114.14224178400866,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 1}",1
55,False,"{'a': 0.002, 'e': 0.7628626641409961}",30,0,-110.40964586376452,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
56,False,"{'a': 0.002, 'e': 0.7590483508202912}",30,0,-191.2465081932087,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
57,False,"{'a': 0.002, 'e': 0.7552531090661897}",25,0,-29.69979018313779,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.002, 'e': 0.7514768435208588}",25,16,-2.1065394539025424,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.002, 'e': 0.7477194593032545}",20,0,-56.22589326220102,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
60,False,"{'a': 0.002, 'e': 0.7439808620067382}",20,5,-68.0774378546429,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
61,False,"{'a': 0.002, 'e': 0.7402609576967045}",20,0,-68.21230391559604,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.002, 'e': 0.736559652908221}",20,0,-46.732664826829435,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
63,False,"{'a': 0.002, 'e': 0.7328768546436798}",25,0,-100.96088165203972,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
64,False,"{'a': 0.002, 'e': 0.7292124703704614}",25,0,-104.31501568225507,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
65,False,"{'a': 0.002, 'e': 0.7255664080186092}",30,0,-55.030231944708135,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
66,False,"{'a': 0.002, 'e': 0.7219385759785161}",25,4,-144.51732716080727,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 3}",1
67,False,"{'a': 0.002, 'e': 0.7183288830986235}",20,0,-78.92946572454004,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
68,False,"{'a': 0.002, 'e': 0.7147372386831303}",25,16,3.1931817924164525,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.002, 'e': 0.7111635524897147}",30,10,-72.867754855173,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
70,False,"{'a': 0.002, 'e': 0.7076077347272661}",30,0,-122.39882743197177,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
71,False,"{'a': 0.002, 'e': 0.7040696960536298}",20,0,-49.723430352782316,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
72,False,"{'a': 0.002, 'e': 0.7005493475733616}",25,0,-178.3722078023571,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
73,False,"{'a': 0.002, 'e': 0.6970466008354949}",30,7,-47.67766861372586,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 0}",1
74,False,"{'a': 0.002, 'e': 0.6935613678313174}",20,4,-51.5117392285344,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 0}",1
75,False,"{'a': 0.002, 'e': 0.6900935609921608}",25,3,-26.915590912544932,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.002, 'e': 0.6866430931872}",25,2,-104.01570334172588,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 1}",1
77,False,"{'a': 0.002, 'e': 0.683209877721264}",20,11,-12.63371163493714,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.002, 'e': 0.6797938283326577}",20,0,-90.96383422905872,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
79,False,"{'a': 0.002, 'e': 0.6763948591909944}",20,0,-113.07307593702082,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
80,False,"{'a': 0.002, 'e': 0.6730128848950394}",25,16,13.635979069936178,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.002, 'e': 0.6696478204705641}",25,0,-182.35152660179463,"{0: 12, 1: 5, 2: 3, 3: 3, 4: 2}",0
82,False,"{'a': 0.002, 'e': 0.6662995813682113}",35,0,-108.3411086154927,"{0: 23, 1: 4, 2: 6, 3: 1, 4: 1}",0
83,False,"{'a': 0.002, 'e': 0.6629680834613703}",20,0,-28.33738500195601,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
84,False,"{'a': 0.002, 'e': 0.6596532430440635}",20,0,-47.40926902624657,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.002, 'e': 0.6563549768288431}",25,17,5.881471976184574,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
